Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Uruguay,URY,"Population, total",SP.POP.TOTL,3427042,3428409,3429086,3426260,3422794,3423108,3423316
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32956100,33580350,34232050,34915100,35648100,36194172,36714380
Vanuatu,VUT,"Population, total",SP.POP.TOTL,297298,304404,311685,319137,326740,334506,342325
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,29825653,28971683,28490453,28199867,28301696,28838499,29395334
Viet Nam,VNM,"Population, total",SP.POP.TOTL,94914330,95776716,96648685,97468029,98186856,98858950,99497680
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107001,106669,106290,105870,105413,104711,103972
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4569087,4685306,4803269,4922749,5043612,5159253,5277923
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,30790513,31546691,32284046,32981641,33696614,34449825,35219853
Zambia,ZMB,"Population, total",SP.POP.TOTL,17835893,18380477,18927715,19473125,20017675,20569737,21134695
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15052184,15354608,15669666,15993524,16320537,16665409,17020321
