Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Algeria,DZA,"Population, total",SP.POP.TOTL,41927007,42705368,43451666,44177969,44903225,45606480,46278751
American Samoa,ASM,"Population, total",SP.POP.TOTL,48424,47321,46189,45035,44273,43914,43544
Andorra,AND,"Population, total",SP.POP.TOTL,75013,76343,77700,79034,79824,80088,80341
Angola,AGO,"Population, total",SP.POP.TOTL,31273533,32353588,33428486,34503774,35588987,36684202,37804634
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91626,92117,92664,93219,93763,94298,94816
Arab World,ARB,"Population, total",SP.POP.TOTL,432545676,441467739,449228296,456520777,464684914,473265558,481920294
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502,44938712,45376763,45808747,46234830,46519252,46799296
Armenia,ARM,"Population, total",SP.POP.TOTL,2836557,2820602,2805608,2790974,2780469,2777970,2777979
Aruba,ABW,"Population, total",SP.POP.TOTL,105962,106442,106585,106537,106445,106277,106177
Australia,AUS,"Population, total",SP.POP.TOTL,24963258,25334826,25649248,25685412,26005540,26256970,26506632
Austria,AUT,"Population, total",SP.POP.TOTL,8840521,8879920,8916864,8955797,9041851,9055536,9068574
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9939771,10024283,10093121,10137750,10141756,10195755,10246234
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,401906,404557,406471,407906,409984,412623,415223
Bahrain,BHR,"Population, total",SP.POP.TOTL,1487340,1494188,1477469,1463265,1472233,1485509,1498712
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163683958,165516222,167420951,169356251,171186372,172954319,174701211
Barbados,BRB,"Population, total",SP.POP.TOTL,279688,280180,280693,281200,281635,281995,282309
Belarus,BLR,"Population, total",SP.POP.TOTL,9438785,9419758,9379952,9302585,9228071,9187054,9147972
Belgium,BEL,"Population, total",SP.POP.TOTL,11427054,11488980,11538604,11586195,11685814,11714453,11742661
Belize,BLZ,"Population, total",SP.POP.TOTL,382066,389095,394921,400031,405272,410825,416656
Benin,BEN,"Population, total",SP.POP.TOTL,11940683,12290444,12643123,12996895,13352864,13712828,14080072
Bermuda,BMU,"Population, total",SP.POP.TOTL,63918,63911,63893,63764,63532,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,762096,767459,772506,777486,782455,787424,792382
Bolivia,BOL,"Population, total",SP.POP.TOTL,11606905,11777315,11936162,12079472,12224110,12388571,12567336
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3400129,3360711,3318407,3270943,3233526,3210847,3194378
Botswana,BWA,"Population, total",SP.POP.TOTL,2451409,2499702,2546402,2588423,2630296,2675352,2719694
Brazil,BRA,"Population, total",SP.POP.TOTL,210166592,211782878,213196304,214326223,215313498,216422446,217637297
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30335,30610,30910,31122,31305,31538,31763
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,434274,438048,441725,445373,449002,452524,455858
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7025037,6975761,6934015,6877743,6465097,6386070,6333999
